_id,tipo,situacao,data,hora,bairro,endereco,numero,complemento,natureza,descricao,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas
3931,SEM VÍTIMA,FINALIZADA,2015-11-16T00:00:00,09:37:00.000,IMBIRIBEIRA,RUA OLIVIA MENELAU,935,E/F  AO EDIFICIO PAULO DOIS,COLISÃO,COLISÃO  SEM VITIMAS,2,,,,,,,,,0
3932,SEM VÍTIMA,FINALIZADA,2015-11-16T00:00:00,10:20:00.000,BOA VIAGEM,RUA SA E SOUZA,154,EM FRENTE A PADARIA SANTA ROSA,COLISÃO,COLISÃO SEM  VITIMAS,2,,,,,,,,,0
3933,SEM VÍTIMA,CANCELADA,2015-11-16T00:00:00,10:21:00.000,SAN MARTIN,AV ENGENHEIRO ABDIAS DE CARVALHO,,"E/F A DLT E O POSTO SHELL, NO LADO DIREITO DA VIA.",COLISÃO,SEM VÍTIMAS,,,,,,,,,,0
3934,SEM VÍTIMA,FINALIZADA,2015-11-16T00:00:00,10:24:00.000,CASA AMARELA,RUA CORREGO DO EUCLIDES,521,E/F A IGREJA ASSEMBLEIA   DE DEUS,COLISÃO,COLISÃO SEM VITIMAS,1,,,,,1,,,,0
3935,SEM VÍTIMA,FINALIZADA,2015-11-16T00:00:00,11:42:00.000,SANTO AMARO,RUA FREI CASSIMIRO,,AO LADO DO SIMPOL,COLISÃO,COLISÃO SEM VITIMAS,2,,,,,,,,,0
3936,COM VÍTIMA,FINALIZADA,2015-11-16T00:00:00,11:55:00.000,ILHA DO LEITE,RUA ESTADO DE ISRAEL,262,E/F  AO EMPRESARIAL  SELECTA   CENTER,COLISÃO,COLISÃO COM 1 VITIMA A ESPERA DO SAMU,1,1,,,,,,,,1
3937,SEM VÍTIMA,CANCELADA,2015-11-16T00:00:00,12:29:00.000,CORDEIRO,RUA GOMES TABORDA,1100,COM A RUA GREGORIO JUNIOR ESQUINA  DO SALA  DE REBOCO,COLISÃO,COLISAO DE MOTO E AUTO S/V,1,1,,,,,,,,0
3938,SEM VÍTIMA,FINALIZADA,2015-11-16T00:00:00,13:41:00.000,BOA VIAGEM,AV BOA VIAGEM,,E/F AO ARCÁDIA,COLISÃO,02 AUTOS,2,,,,,,,,,0
3939,COM VÍTIMA,FINALIZADA,2015-11-16T00:00:00,14:08:00.000,SANTO AMARO,AV ENGENHEIRO AGAMENON DE MAGALHAES MELO,1268,EM FRENTE AO MINISTERIO DO TRABALHO,COLISÃO,1 AUTO E 1 MOTO,1,1,,,,,,,,1
3940,SEM VÍTIMA,FINALIZADA,2015-11-16T00:00:00,14:10:00.000,SAN MARTIN,AV GENERAL SAN MARTIN,1371,E/F DO PREDIO DA CHESF,COLISÃO,COLISAO DE AUTO E TAXI S/V,2,,,,,,,,,0
3941,SEM VÍTIMA,FINALIZADA,2015-11-16T00:00:00,15:16:00.000,CASA FORTE,AV DEZESSETE DE AGOSTO,,"E/F A FARMACIA PAGUE MENOS, SENTIDO APUPICOS, ESQUINA COM A RUA SILVEIRA LOBO",COLISÃO,01 AUTO 01 MOTO,1,1,,,,,,,,0
3942,SEM VÍTIMA,FINALIZADA,2015-11-16T00:00:00,15:18:00.000,GRAÇAS,RUA JOAQUIM NABUCO,,E/F DO SANTA JOANA ED O HEMOPE,ENGAVETAMENTO,ENGAVETAMENTO DE DOIS AUTOS E MOTO S/V,2,1,,,,,,,,0
3943,SEM VÍTIMA,CANCELADA,2015-11-16T00:00:00,15:34:00.000,BOA VISTA,RUA DOM BOSCO,,COM A RUA HENRIQUE DIAS E/F DO EXTRA NO SEMAFORO 294,COLISÃO,COLISAO DE DOIS AUTOS S/V,2,,,,,,,,,0
3944,COM VÍTIMA,FINALIZADA,2015-11-16T00:00:00,16:00:00.000,ILHA DO RETIRO,RUA TABAIARES,110,E/F A HYUNDAI,COLISÃO,01 MOTO 01 AUTO,1,1,,,,,,,,1
3945,SEM VÍTIMA,FINALIZADA,2015-11-16T00:00:00,16:35:00.000,IPSEP,RUA PINTOR ANTONIO ALBUQUERQUE,,COM A RUA JOSE VICENTE,COLISÃO,COLISAO DE DOIS AUTOS S/V,2,,,,,,,,,0
3946,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,06:51:00.000,DOIS UNIDOS,AV HILDEBRANDO DE VASCONCELOS,,SENTIDO  BEBERIBE   PROX  A PADARIA ESPERANÇA,COLISÃO,COLISÃO  SEM VITIMAS,1,1,,,,,,,,0
3947,SEM VÍTIMA,CANCELADA,2015-12-01T00:00:00,07:41:00.000,IBURA,AV RECIFE,,ENTRADA DO IBURA SENTIDO AEROPORTO AO LADO DO NÚCLEO DO POSTO DA POLICIA MILITAR,COLISÃO,COLISÃO SEM VITIMAS ENTRE DOIS AUTOS,1,,,,,,1,,,0
3948,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,08:12:00.000,SANTO ANTÔNIO,PRC DA REPUBLICA,,AO LADO DO TEATRO SANTA ISABEL,COLISÃO,SEM VÍTIMAS. VT 15 NO LOCAL,1,1,,,,,,,,0
3949,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,08:35:00.000,BARRO,AV DR JOSE RUFINO,1897,E/F A GALERIA BARRO AO LADO DO  POSTO DE GASOLINA IMPÉRIO,COLISÃO,SEM VÍTIMAS,,2,,,,,,,,0
3950,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,08:36:00.000,GRAÇAS,RUA DOM BOSCO,,AO LADO DO COLEGIO AMERICANO BATISTA,COLISÃO,"COL.S/V,SET/OLINDA",2,,,,,,,,,0
3951,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,09:15:00.000,IPSEP,RUA PINTOR ANTONIO ALBUQUERQUE,,E/F A  RECIFE CUSPOM AO LADO DA IGREJA ADVENTISTA,COLISÃO,SEM VÍTIMAS.,1,,,,,1,,,,0
3952,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,09:17:00.000,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,2312,PROX AO BANCO BRADESCO  E/F A ACADEMIA  SANTE,COLISÃO,COLISÃO  SEM VITIMAS,2,,,,,,,,,0
3953,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,09:44:00.000,IPSEP,RUA JEAN EMILE FAVRE,1738,"E/F A IPSEP BATERIAS, SENTIDO AV RECIFE.",COLISÃO,SEM VÍTIMAS,2,1,,,,,,,,0
3954,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,09:45:00.000,CASA AMARELA,RUA MAJOR NEREU GUERRA,166,EM FRENTE DA CLINICA DR.ANTONIO BRAVO,COLISÃO,"COL.S/V,SET",2,,,,,,,,,0
3955,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,10:03:00.000,GRAÇAS,RUA JOAQUIM NABUCO,344,EM FRENTE A FARMACIA QUATRO CANTOS,COLISÃO,2 AUTOS,2,,,,,,,,,0
3956,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,10:12:00.000,MACAXEIRA,AV NORTE,,NO SEMAFORO Nº451,COLISÃO,"COL.S/V,SET.SUB",1,,,,,,,1,,0
3957,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,10:23:00.000,CAXANGÁ,AV CAXANGA,5273,EM FRENTE AO CAXANGA GOLF CLUB,COLISÃO,AUTO E MOTO,1,1,,,,,,,,0
3958,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,10:29:00.000,ÁGUA FRIA,RUA CONEGO BARATA,618,E/F A EMPRESA  DE GRAFICA  NGE,COLISÃO,COLISÃO SEM VITIMAS,1,,,,,,,,1,0
3959,SEM VÍTIMA,EM ATENDIMENTO,2015-12-01T00:00:00,10:34:00.000,DERBY,AV GOVERNADOR AGAMENON MAGALHAES,1114,EM FRENTE A EMBRATEL,COLISÃO,2 AUTOS,2,,,,,,,,,0
3960,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,10:51:00.000,BOA VIAGEM,AV HELIO FALCAO,176,E/F  AO EDIFICIO  SAINT  JACQUES,COLISÃO,COLISÃO SEM VITIMAS,1,,,,,,1,,,0
3961,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,10:56:00.000,JORDÃO,RUA BOANERGES PEREIRA,,EM FRENTE A ESCOLA TÉCNICA DO IBURA,COLISÃO,2 AUTOS,2,,,,,,,,,0
3962,COM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,11:15:00.000,IBURA,AV DOIS RIOS,,E/F A BELA VISTA MATERIAIS DE CONSTRUÇÃO,CHOQUE,COM UMA VÍTIMA.,,,1,,,,,,,1
3963,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,11:17:00.000,BOA VIAGEM,AV BOA VIAGEM,6306,EM FRENTE AO EDF/ANTONIO DIAS CARDOSO,COLISÃO,COL.S/V,1,1,,,,,,,,0
3964,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,11:25:00.000,SAN MARTIN,AV GENERAL SAN MARTIN,3632,APOS A CAVALARIA   E/F  A COMPANHIA DO PASTEL,COLISÃO,COLISÃO SEM VITIMAS,1,,,,,,1,,,0
3965,SEM VÍTIMA,CANCELADA,2015-12-01T00:00:00,11:53:00.000,CAMPO GRANDE,EST DE BELEM,,E/F DO ANTIGO CLUBE DO BANDEPE,COLISÃO,COLISAO DE DOIS AUTOS S/V,2,,,,,,,,,0
3966,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,12:45:00.000,BOA VIAGEM,AV CONSELHEIRO AGUIAR,,AO LADO DO DO BANCO SAFRA,COLISÃO,COLISAO ENTRE DOIS AUTOS,2,,,,,,,,,0
3967,SEM VÍTIMA,CANCELADA,2015-12-01T00:00:00,12:51:00.000,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,,APOS O CRUZAMENTO DA PROF. JOSE BRANDAO VEICULOS NO POSTO BR,COLISÃO,COLISÃO ENTRE DOIS AUTOS,2,,,,,,,,,0
3968,COM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,12:52:00.000,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,1950,EM FRENTE A FARMACIA PAGUE MENOS,COLISÃO,AUTO E MOTO,1,1,,,,,,,,1
3969,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,13:02:00.000,BOA VIAGEM,RUA FELIX DE BRITO E MELO,912,PX AO HIPER BOMPREÇO BOA VIAGEM,COLISÃO,COLISAO ENTRE AUTOS,2,,,,,,,,,0
3970,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,13:04:00.000,IMBIRIBEIRA,AV PRESIDENTE DUTRA,,APOS O SAL E BRASA DESCIDA DO VIADUTO E/F DO OUTLET,COLISÃO,VEICULO COLIDIU COM UMA ARVORE E CAPOTOU S/V,1,,,,,,,,,0
3971,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,13:05:00.000,ENCRUZILHADA,AV JOAO DE BARROS,1665,"ANTES DA AVENIDA NORTE, SENTIDO SUBURBIO, E/F BANCO ITAÚ",COLISÃO,01 AUTO 01 ONIBUS,1,,,,,1,,,,0
3972,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,13:11:00.000,JARDIM SÃO PAULO,RUA DA CAPELA,155,ESQUINA COM O POSTO LAROQUE,COLISÃO,COLISAO DE DOIS AUTOS S/V,2,,,,,,,,,0
3973,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,13:15:00.000,IPSEP,AV SALDANHA MARINHO,,E/F AO CHURRACARIA PICUI,COLISÃO,COLISAO ENTRE AUTO E ONIBUS,1,,,,,1,,,,0
3974,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,13:18:00.000,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,2842,EM FRENTE AO EMPRESARIAL TORRE MADRI / SENT PIEDADE,COLISÃO,COLISAO ENTRE AUTO E MOTO,1,1,,,,,,,,0
3975,SEM VÍTIMA,CANCELADA,2015-12-01T00:00:00,13:47:00.000,JORDÃO,RUA ALBERTO LUNDGREN,71,PX AO MERCADO PUPLICO,CHOQUE,CHOQUE DE VEICULO COM PLACA,1,,,,,,,,,0
3976,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,13:57:00.000,ESPINHEIRO,AV JOAO DE BARROS,,SOBE VIADUTO DA JOAO DE BARROS,COLISÃO,COLISAO DE DOIS AUTOS S/V BATEDOR DA MOTO 02 NO LOCAL,2,,,,,,,,,0
3977,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,13:59:00.000,ESPINHEIRO,RUA BARAO DE ITAMARACA,,COM A RUA DO ESPINHEIRO / SEMÁFORO 086,COLISÃO,DOIS AUTOS,2,,,,,,,,,0
3978,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,14:36:00.000,BOA VISTA,RUA DO PRINCIPE,,EM FRENTE A CATÓLICA / SEMÁFORO 170,COLISÃO,DOIS AUTOS,2,,,,,,,,,0
3979,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,14:41:00.000,BOA VIAGEM,RUA ANTONIO FALCAO,156,ARMAZEN ALICERCE,COLISÃO,COLISAO ENTRE DOIS AUTOS,2,,,,,,,,,0
3980,COM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,14:45:00.000,TORRÕES,RUA DO FORTE,963,PROX AO CAMPO DO  15,COLISÃO,DOIS AUTOS,2,,,,,,,,,1
3981,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,15:08:00.000,PAISSANDU,RUA PAISSANDU,419,ANTES DO BANCO DO BRASIL PAISSANDU,COLISÃO,2 AUTOS,2,,,,,,,,,0
3982,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,15:24:00.000,TORRE,RUA JOSE BONIFACIO,678,SENT CARREFUOR - LADO ESQUERDO,COLISÃO,COLISAO ENTRE AUTOS,2,,,,,,,,,0
3983,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,16:03:00.000,AREIAS,AV RECIFE,,"SENTIDO BR101, E/F AO GALETTUS, SEMAFORO 617",COLISÃO,2 AUTOS,2,,,,,,,,,0
3984,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,16:10:00.000,MADALENA,AV VISCONDE DE ALBUQUERQUE,233,"AO LADO DO LAÇA BURGUER, APÓS AO BOMPREÇO MADALANA",COLISÃO,2 AUTOS,2,,,,,,,,,0
3985,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,16:14:00.000,CASA FORTE,AV DEZESSETE DE AGOSTO,,AO LADO DO PLAZA,COLISÃO,COLISAO DOIS AUTOS,2,,,,,,,,,0
3986,SEM VÍTIMA,CANCELADA,2015-12-01T00:00:00,16:27:00.000,TORRE,RUA BONIFACIO DE ANDRADE,,"CRUZ COM A PADRE ANCHIETA, SEMAFORO 193",ENGAVETAMENTO,3 AUTOS,3,,,,,,,,,0
3987,SEM VÍTIMA,CANCELADA,2015-12-01T00:00:00,17:41:00.000,DERBY,AV GOVERNADOR AGAMENON MAGALHAES,75,PRACA DO DERBY,COLISÃO COM CICLISTA,TESTE/ TESTE/ 0,1,,,5,,,,,,0
3988,COM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,18:22:00.000,ESPINHEIRO,RUA AFONSO BATISTA,78,COLADO A DELEGACIA DO ESPINHEIRO,COLISÃO,AUTO E MOTO,1,,,,,,,,,1
3989,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,18:33:00.000,BOA VISTA,RUA JOSE DE ALENCAR,,POR TRAS DO SHOPPING BOA VISTA PROXIMO AO SEMAFORO 029,COLISÃO,AUTO E CAMINHAO DE AGUA,1,,,,,,1,,,0
3990,SEM VÍTIMA,CANCELADA,2015-12-01T00:00:00,18:34:00.000,DERBY,PRC DO DERBY,,"EM FRENTE A PARADA DO BRT, SENTIDO CLUB INTERNACIONAL",COLISÃO,COLISÃO ENTRE ONIBUS E AUTO,1,,,,,1,,,,0
3991,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,18:42:00.000,ÁGUA FRIA,RUA LADEIRA DE PEDRA,505,TERMINAL DO ALTO DO PASCOAL,COLISÃO,ONIBUS E AUTO,1,,,,,1,,,,0
3992,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,20:08:00.000,CAXANGÁ,AV CAXANGA,,"EM FRENTE AO HOSPITAL BARAO DE LUCENA E EM FRENTE AO VOL MASTER, SENTIDO CIDADE SUBURBIO.",COLISÃO,AUTO MOTO,1,1,,,,,,,,0
3993,COM VÍTIMA,CANCELADA,2015-12-01T00:00:00,20:20:00.000,SANTO AMARO,AV GOVERNADOR AGAMENON MAGALHAES,,EM FRENTE A UNICORDS SENTIDO OLINDA,ATROPELAMENTO,"",,1,,,1,,,,,1
3994,SEM VÍTIMA,CANCELADA,2015-12-01T00:00:00,20:52:00.000,BOA VIAGEM,AV DOM JOAO VI,,POR TRAS DO HIPER,COLISÃO,DOIS AUTO,2,,,,,,,,,0
3995,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,21:04:00.000,DERBY,AV ENGENHEIRO AGAMENON DE MAGALHAES MELO,,PISTA LOCAL DEPOIS DO BOM PREÇO PARQUE AMORIM SENTIDO BOA VIAGEM OLINDA,COLISÃO,CAMINHÃO CAÇAMBA E AUTO,1,,,,,,1,,,0
3996,COM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,21:09:00.000,PRADO,RUA JOAO IVO DA SILVA,37,AO LADO DA HABBIB´S E AO LADO DA SAMBUEY.,COLISÃO,AUTO MOTO,1,1,,,,,,,,1
3997,SEM VÍTIMA,CANCELADA,2015-12-01T00:00:00,22:49:00.000,CAXANGÁ,AV CAXANGA,,NA SUBIDA DO VIADUTO DA CAXANGA,COLISÃO,TRES AUTO,3,,,,,,,,,0
3998,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,23:18:00.000,BARRO,AV DR JOSE RUFINO,,PROX AO POSTO SHELL SEMAFORO 557,COLISÃO,ONIBUS METROPOLITANA AUTO,1,,,,,1,,,,0
3999,SEM VÍTIMA,FINALIZADA,2015-12-01T00:00:00,23:30:00.000,BOA VIAGEM,AV BOA VIAGEM,,E/F CASA DE EVENTO ARCADIA,COLISÃO,DOIS AUTOS,2,,,,,,,,,0
4000,SEM VÍTIMA,FINALIZADA,2015-12-02T00:00:00,07:41:00.000,JORDÃO,AV MARIA IRENE,1662,EM FRENTE A UPA NOVA DO JORDÃO,COLISÃO,COLISÃO SEM VITIMAS,1,1,,,,,,,,0
4001,SEM VÍTIMA,FINALIZADA,2015-12-02T00:00:00,08:14:00.000,CURADO,BR 101 (DENTRO DA CEASA),46,EM FRENTE A NALDI TOMATE,COLISÃO,2 AUTOS,2,,,,,,,,,0
4002,SEM VÍTIMA,CANCELADA,2015-12-02T00:00:00,08:25:00.000,BOA VISTA,RUA BISPO CARDOSO AYRES,252,NA RUA DA IGREJA PERNAMBUCANA,COLISÃO,AUTO E MOTO,1,1,,,,,,,,0
4003,SEM VÍTIMA,FINALIZADA,2015-12-02T00:00:00,08:58:00.000,CASA AMARELA,AV NORTE,5629,"PROX. A SUBIDA DO MORRO DA CONCEIÇÃO, SENTIDO SUBÚRBIO.",COLISÃO,SEM VÍTIMAS. VT 11 NO LOCAL,2,,,,,,,,,0
4004,SEM VÍTIMA,FINALIZADA,2015-12-02T00:00:00,08:58:00.000,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,,EM FRENTE AO AEROPORTO/ SENTIDO PRAZERES AFOGADOS,COLISÃO,3 AUTOS E 1 MOTO,3,1,,,,,,,,0
4005,SEM VÍTIMA,FINALIZADA,2015-12-02T00:00:00,09:03:00.000,"",AV ENGENHEIRO DOMINGOS FERREIRA,,A 50 METROS ANTES DA BRUNO VELOSO,COLISÃO,COLISÃO ENTRE AUTO E MOTO,1,1,,,,,,,,0
4006,SEM VÍTIMA,FINALIZADA,2015-12-02T00:00:00,09:13:00.000,IBURA,AV DOIS RIOS,,EM FRENTE AO IRMÃO MOTOS,COLISÃO,COLISÃO CAMINHÃO E AUTO SEM VÍTIMAS,1,,,,,,1,,,0
4007,SEM VÍTIMA,FINALIZADA,2015-12-02T00:00:00,09:20:00.000,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,,EM FRENTE AO AEROPORTO/ SENTIDO RECIFE,COLISÃO,2 AUTOS,2,,,,,,,,,0
4008,SEM VÍTIMA,FINALIZADA,2015-12-02T00:00:00,09:33:00.000,SÃO JOSÉ,RUA IMPERIAL,,"NA DESCIDA DO VIADUTO DO FORTE DAS CINCO PONTAS,LADO CONTRÁRIO AO GARNDE RECIFE CONSORCIO",COLISÃO,COLISÃO SEM VITIMAS,2,,,,,,,,,0
4009,SEM VÍTIMA,FINALIZADA,2015-12-02T00:00:00,09:57:00.000,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,,VIADUTO APÓS O AEROPORTO SENTIDO AFOGADOS,COLISÃO,COLISÃO ENTRE MOTO DA SERTTEL E ONIBUS SEM VITIMA,,1,,,,1,,,,0
4010,SEM VÍTIMA,FINALIZADA,2015-12-02T00:00:00,09:57:00.000,SANCHO,AV LIBERDADE,,"E/F AO PARQUE DAS FLORES, SENTIDO AV DR. JOSÉ RUFINO",COLISÃO,SEM VÍTIMAS.,2,,,,,1,,,1,0
4011,SEM VÍTIMA,FINALIZADA,2015-12-02T00:00:00,10:36:00.000,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,1910,EM FRENTE A MEIRA LINS,COLISÃO,2 AUTOS,2,,,,,,,,,0
4012,SEM VÍTIMA,FINALIZADA,2015-12-02T00:00:00,11:16:00.000,SANTO AMARO,RUA DOIS DE JULHO,1563,DEPOPIS DO INSTITUTO TAVARES BURIL,COLISÃO,1 CAMINHÃO E 1 AUTO,1,,,,,,1,,,0
4013,SEM VÍTIMA,FINALIZADA,2015-12-02T00:00:00,11:47:00.000,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,1472,EM FRENTE DA NETUNO SENT/PRAZERES,COLISÃO,COLISÃO SEM VITIMAS,2,,,,,,,,,0
4014,SEM VÍTIMA,CANCELADA,2015-12-02T00:00:00,12:03:00.000,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,2391,EM FRENTE AO HSBC,COLISÃO,COLISÃO SEM VITIMAS,2,,,,,,,,,0
4015,SEM VÍTIMA,CANCELADA,2015-12-02T00:00:00,13:31:00.000,VÁRZEA,RUA BACATUBA,,PROX AO BANCO DO BRASIL,COLISÃO,COLISAO ENTRE AUTOS,2,,,,,,,,,0
4016,SEM VÍTIMA,FINALIZADA,2015-12-02T00:00:00,14:30:00.000,BOMBA DO HEMETÉRIO,RUA DES HERACLITO CAVALCANTI,,"POR TRÁS DA FUNDA BEM, APOS A GIGANTE DO SAMBA PRIMEIRA A DIREITA.",COLISÃO,01 CAMINHÃO 01 AUTO,1,,,,,,1,,,0
4017,SEM VÍTIMA,FINALIZADA,2015-12-02T00:00:00,14:38:00.000,PRADO,AV ENGENHEIRO ABDIAS DE CARVALHO,,EM FRENTE  A FACULDADE ESTÁCIO / SENT CIDADE/SEMÁFORO 327,COLISÃO,DOIS AUTOS,2,,,,,,,,,0
4018,SEM VÍTIMA,FINALIZADA,2015-12-02T00:00:00,14:48:00.000,IMBIRIBEIRA,RUA ANTONIO EDUARDO AMORIM,,"E/F AO BRADESCO, AO LADO DA DUCATO, SENTIDO RECIFE",COLISÃO,01 CAMINHÃO 01 AUTO,1,,,,,,1,,,0
4019,SEM VÍTIMA,CANCELADA,2015-12-02T00:00:00,14:54:00.000,ESPINHEIRO,RUA DO ESPINHEIRO,,COM A BARÃO  DE ITAMARACA/ AO LADO DA DROGA GIL,COLISÃO,ONIBUS  E AUTO,1,,,,,1,,,,0
4020,SEM VÍTIMA,FINALIZADA,2015-12-02T00:00:00,15:09:00.000,ILHA DO LEITE,RUA MARQUES AMORIM,,"ESQUINA COM A VISCONDE DE GOIANA, SORVETERIA FRI SABOR",COLISÃO,02 AUTOS,2,,,,,,,,,0
4021,COM VÍTIMA,FINALIZADA,2015-12-02T00:00:00,15:14:00.000,BAIRRO DO RECIFE,AV ALFREDO LISBOA,,APÓS O MOINHO RECIFE,TOMBAMENTO,"",,1,,,,,,,,2
4022,SEM VÍTIMA,CANCELADA,2015-12-02T00:00:00,15:31:00.000,SANTO AMARO,RUA DOS PALMARES,,PROX AO PROCAP,COLISÃO,DOIS AUTOS E UM CAMINHÃO,2,,,,,,1,,,0
4023,SEM VÍTIMA,FINALIZADA,2015-12-02T00:00:00,15:33:00.000,TORRE,RUA CONDE DE IRAJA,,COM A RUA JOSE BONIFACIO E/F DA PANIFICADORA NOVA ARMADA,COLISÃO,COLISAO DE ONIBUS E AUTOS S/V,2,,,,,,,,,0
4024,SEM VÍTIMA,FINALIZADA,2015-12-02T00:00:00,15:52:00.000,PARNAMIRIM,RUA ISAAC SALAZAR,,"COM A RUA AFONSO CELSO, RUA DO CLÉGIO EMINENTE",COLISÃO,01 AUTO 01 MOTO,1,1,,,,,,,,0
4025,SEM VÍTIMA,FINALIZADA,2015-12-02T00:00:00,16:05:00.000,ARRUDA,EST DE BELEM,190,E/F AO EDF JULIO II,CHOQUE,CHOQUE DE AUTO COM  MURO,1,,,,,,,,,0
4026,SEM VÍTIMA,FINALIZADA,2015-12-02T00:00:00,16:15:00.000,DERBY,AV GOVERNADOR AGAMENON MAGALHAES,,E/F AO HOSP DA RESTAURACAO,COLISÃO,COLISAO ENTRE AUTOS,2,,,,,,,,,0
4027,SEM VÍTIMA,FINALIZADA,2015-12-02T00:00:00,16:23:00.000,ENCRUZILHADA,EST DE BELEM,,"NO LARGO E/F A PADARIA GLÓRIA, SENTIDO ESTRADA DE BELÉM",COLISÃO,01 AUTO 01 ONIBUS,1,1,,,,,,,,0
4028,SEM VÍTIMA,FINALIZADA,2015-12-02T00:00:00,16:28:00.000,SANTO AMARO,AV CRUZ CABUGA,,AO LADO DO MEMORIAL SENT CIDADE/ EM BAIXO DO VIADUTO,COLISÃO,DOIS AUTOS,2,,,,,,,,,0
4029,SEM VÍTIMA,EM ATENDIMENTO,2015-12-02T00:00:00,16:54:00.000,TEJIPIÓ,AV DR JOSE RUFINO,,E/F DA ESTAÇÃO TEJIPIO,COLISÃO,COLISAO DE DOIS AUTOS S/V,2,,,,,,,,,0
4030,SEM VÍTIMA,FINALIZADA,2015-12-02T00:00:00,14:41:00.000,CORDEIRO,AV CAXANGA,1455,EM FRENTE À FARMÁCIA DO TRABALHADOR,COLISÃO,COLISÃO ENTRE DOIS AUTOS SEM VÍTIMAS,2,,,,,,,,,0
4031,SEM VÍTIMA,FINALIZADA,2015-12-02T00:00:00,17:18:00.000,TORRE,RUA JOSE DE HOLANDA,,E/F AO CLUBE DOS SUB TENETES,COLISÃO,02 AUTOS,2,,,,,,,,,0
4032,SEM VÍTIMA,FINALIZADA,2015-12-02T00:00:00,18:00:00.000,ROSARINHO,RUA COUTO MAGALHAES,50,PROX AO CRUZAMENTO DA AV BEBERIBE SEMAFORO 063,COLISÃO,TRES  AUTOS,3,,,,,,,,,0
4033,SEM VÍTIMA,FINALIZADA,2015-12-02T00:00:00,14:41:00.000,AFOGADOS,EST DOS REMEDIOS,,EM FRENTE A BELO AUTO PEÇAS,COLISÃO,COLISÃO ENTRE DOIS AUTOS SEM VÍTIMAS,2,,,,,,,,,0
4034,SEM VÍTIMA,FINALIZADA,2015-12-02T00:00:00,18:21:00.000,SANTO AMARO,RUA DA AURORA,,CRUZAMENTO COM A PONTE PRINCESA ISABEL,COLISÃO,COLISÃO ENTRE DOIS AUTO S/V,2,,,,,,,,,0
